task,model,fold,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,auroc,auprc,auroc_macro_ovr,auprc_macro_ovr,f1_Sigma24,f1_Sigma28,f1_Sigma32,f1_Sigma38,f1_Sigma54,f1_Sigma70
binary,5mer_random_forest,1,0.8098859315589354,0.8104588149449488,0.8092314493766695,0.8094759560105338,0.8096977460613083,0.6196890488533412,0.8833228403320109,0.878347129211227,,,,,,,,
binary,5mer_random_forest,2,0.8258555133079848,0.828749478441466,0.8246191271983223,0.8249989394227322,0.825306188751138,0.6533555502437317,0.8848504978774819,0.8824867173294768,,,,,,,,
binary,5mer_random_forest,3,0.8212927756653993,0.8222872357757638,0.8205118115703857,0.8208136258763621,0.8210461544504536,0.6427965954623657,0.8847636991533074,0.8865912704977594,,,,,,,,
binary,5mer_random_forest,4,0.799847792998478,0.8001727710098152,0.7992604784866468,0.799470449073808,0.7996955314148393,0.5994325552756039,0.8654302670623147,0.8515337454150734,,,,,,,,
binary,5mer_random_forest,5,0.8105022831050228,0.8108022682904156,0.8100003940722265,0.8101934867822997,0.8103799298450759,0.6208021444826707,0.8769266075249249,0.8657725361817028,,,,,,,,
sigma,3mer_linear_svm,1,0.4793103448275862,0.2791016978171407,0.33802574199001373,0.28253877545199235,0.48773817999756386,0.1945405625855775,,,0.6756597016707877,0.2688129317749148,0.3146067415730337,0.2765957446808511,0.20408163265306123,0.03508771929824561,0.1951219512195122,0.6697388632872504
sigma,3mer_linear_svm,2,0.453448275862069,0.2649877358807157,0.27922635628614834,0.25623161870638006,0.46870476358671875,0.15511554974286418,,,0.6745888585654688,0.26393414157615375,0.26519337016574585,0.17307692307692307,0.17582417582417584,0.14925373134328357,0.11764705882352941,0.6563944530046225
sigma,3mer_linear_svm,3,0.4896551724137931,0.3132961050652015,0.3565568482150261,0.3095060991700907,0.5040837784702566,0.2177432735420568,,,0.6959687063685034,0.28927306347394943,0.35555555555555557,0.2823529411764706,0.22857142857142856,0.13793103448275862,0.18181818181818182,0.6708074534161491
sigma,3mer_linear_svm,4,0.4542314335060449,0.2728441552522573,0.3018653844507655,0.2680018188193635,0.4693233040813413,0.16196719710547636,,,0.6859407978092239,0.2791373315053332,0.2573099415204678,0.21052631578947367,0.21568627450980393,0.12698412698412698,0.14634146341463414,0.6511627906976745
sigma,3mer_linear_svm,5,0.5025906735751295,0.3190219048217202,0.36084574763656274,0.32185173566395137,0.521164505114786,0.24610817298561352,,,0.7121109282564237,0.3216843177829472,0.4083769633507853,0.22988505747126436,0.22807017543859648,0.16393442622950818,0.21621621621621623,0.6846275752773375
binary,binary_cnn,1,0.7931558935361217,0.8098478931445633,0.7901611910173736,0.7890709402878751,0.7898075712014934,0.5996860302159803,0.8813843354921139,0.8679303515022352,,,,,,,,
binary,binary_cnn,2,0.785551330798479,0.7953434922842189,0.7831628992162654,0.7826858975260544,0.7833121180425446,0.5783781446073359,0.8640500516163081,0.8627790537087744,,,,,,,,
binary,binary_cnn,3,0.7984790874524715,0.8177698465278227,0.7953158779170157,0.7940894407280716,0.7948439112588278,0.612674403587809,0.8720494220362286,0.8814443693318768,,,,,,,,
binary,binary_cnn,4,0.7937595129375952,0.805604836060188,0.7911187870919881,0.7906160789098446,0.7912799096983135,0.5965477657431558,0.86328125,0.8484235207221832,,,,,,,,
binary,binary_cnn,5,0.7922374429223744,0.7973937472713122,0.7905378622277135,0.7905770716098421,0.7910311902594236,0.5878916348174924,0.864188802321781,0.8564702593332707,,,,,,,,
sigma,sigma_cnn,1,0.5189655172413793,0.2913037833795488,0.2556925136122877,0.25886267057064005,0.48181637060769905,0.11964645205391854,,,0.692579478438677,0.27947700810980985,0.24050632911392406,0.2127659574468085,0.10101010101010101,0.12244897959183673,0.18181818181818182,0.6946264744429882
sigma,sigma_cnn,2,0.5086206896551724,0.22282890053711255,0.22405194569829354,0.22130940712716293,0.47567274609368304,0.11500084677917734,,,0.6936482486927459,0.2721613497731006,0.32085561497326204,0.13043478260869565,0.2018348623853211,0.0,0.0,0.6747311827956989
sigma,sigma_cnn,3,0.47413793103448276,0.3083717704347612,0.27845632699244227,0.2727433208480852,0.4733348219978549,0.17339001824149833,,,0.7305531039817218,0.2951545515038223,0.3969465648854962,0.10256410256410256,0.24285714285714285,0.03636363636363636,0.23076923076923078,0.6269592476489029
sigma,sigma_cnn,4,0.47668393782383417,0.3600619127312996,0.2871516274887473,0.27912608620730356,0.46982650862950354,0.15643692520280933,,,0.7018584757434868,0.2903670863519396,0.35379061371841153,0.3,0.1686746987951807,0.13333333333333333,0.09090909090909091,0.6280487804878049
sigma,sigma_cnn,5,0.4438687392055268,0.2882024265644955,0.31103500784270605,0.27775734913841393,0.4619253977018775,0.20001695385523421,,,0.6846477806962189,0.26807695022798467,0.3192488262910798,0.2807017543859649,0.3167420814479638,0.07017543859649122,0.07142857142857142,0.6082474226804123
