metric,value
accuracy,0.14065180102915953
precision_macro,0.14809914009908584
recall_macro,0.3656586988051242
f1_macro,0.17623508255418896
f1_weighted,0.06560116578375198
mcc,0.1003403218722005
per_class_precision,"{'Sigma24': np.float64(0.16666666666666666), 'Sigma28': np.float64(0.18), 'Sigma32': np.float64(0.14691943127962084), 'Sigma38': np.float64(0.09871244635193133), 'Sigma54': np.float64(0.2962962962962963), 'Sigma70': np.float64(0.0)}"
per_class_recall,"{'Sigma24': np.float64(0.02040816326530612), 'Sigma28': np.float64(0.6428571428571429), 'Sigma32': np.float64(0.5254237288135594), 'Sigma38': np.float64(0.6052631578947368), 'Sigma54': np.float64(0.4), 'Sigma70': np.float64(0.0)}"
per_class_f1,"{'Sigma24': np.float64(0.03636363636363636), 'Sigma28': np.float64(0.28125), 'Sigma32': np.float64(0.22962962962962963), 'Sigma38': np.float64(0.16974169741697417), 'Sigma54': np.float64(0.3404255319148936), 'Sigma70': np.float64(0.0)}"
auroc_macro_ovr,0.6625946240096868
auprc_macro_ovr,0.2894043005686394
