true_label,true_label_name,predicted_label,predicted_label_name,confidence,entropy,variance,mutual_information,correct
0,Sigma24,1,Sigma28,0.47093222,1.4038048,0.018540902,0.22156274,False
0,Sigma24,3,Sigma38,0.2915615,1.6604306,0.012654367,0.20880353,False
0,Sigma24,2,Sigma32,0.2563769,1.6763595,0.014416605,0.22810566,False
0,Sigma24,3,Sigma38,0.3443468,1.5342594,0.02233804,0.29061532,False
0,Sigma24,2,Sigma32,0.24437663,1.7020941,0.020821407,0.33483052,False
0,Sigma24,3,Sigma38,0.51346624,1.3630166,0.0155500285,0.21876264,False
0,Sigma24,2,Sigma32,0.25149828,1.686353,0.020067064,0.31739044,False
0,Sigma24,1,Sigma28,0.23671392,1.7198308,0.020022178,0.29990852,False
0,Sigma24,3,Sigma38,0.27103123,1.6812468,0.01988201,0.29842973,False
0,Sigma24,3,Sigma38,0.26693302,1.6446781,0.020252677,0.29796278,False
0,Sigma24,3,Sigma38,0.32532743,1.6438125,0.021235412,0.2983694,False
0,Sigma24,3,Sigma38,0.28786233,1.606761,0.02072429,0.30447614,False
0,Sigma24,3,Sigma38,0.3872506,1.5088079,0.024066763,0.31494868,False
0,Sigma24,3,Sigma38,0.34370396,1.5844879,0.033157345,0.42898118,False
0,Sigma24,2,Sigma32,0.24905017,1.7041607,0.017320802,0.27884316,False
0,Sigma24,3,Sigma38,0.2628625,1.7047765,0.020257944,0.3093022,False
0,Sigma24,2,Sigma32,0.30381197,1.6760126,0.029706562,0.41828787,False
0,Sigma24,4,Sigma54,0.34170467,1.6295648,0.02143272,0.2994578,False
0,Sigma24,3,Sigma38,0.27046543,1.6265767,0.019581273,0.2698065,False
0,Sigma24,1,Sigma28,0.27296093,1.672632,0.020433953,0.312685,False
0,Sigma24,3,Sigma38,0.41075203,1.4845164,0.021474145,0.2653811,False
0,Sigma24,2,Sigma32,0.28406668,1.6692883,0.020285988,0.31876838,False
0,Sigma24,3,Sigma38,0.34933475,1.6402001,0.02058852,0.30545926,False
0,Sigma24,3,Sigma38,0.30953044,1.6529763,0.020975403,0.3175212,False
0,Sigma24,2,Sigma32,0.23664457,1.728372,0.022791697,0.34538746,False
0,Sigma24,2,Sigma32,0.24608782,1.6904154,0.01766622,0.27766478,False
0,Sigma24,2,Sigma32,0.26959783,1.6932193,0.017341966,0.2760929,False
0,Sigma24,1,Sigma28,0.3678381,1.5585172,0.023497635,0.30450785,False
0,Sigma24,1,Sigma28,0.43445048,1.5121627,0.02664912,0.3486631,False
0,Sigma24,3,Sigma38,0.3130587,1.515052,0.023386544,0.28779554,False
0,Sigma24,1,Sigma28,0.41537488,1.507814,0.023637598,0.31055367,False
0,Sigma24,3,Sigma38,0.27194494,1.6509845,0.024443282,0.3602414,False
0,Sigma24,1,Sigma28,0.32464853,1.6348752,0.026120326,0.3881948,False
0,Sigma24,1,Sigma28,0.6326053,1.160239,0.013940503,0.18342292,False
0,Sigma24,4,Sigma54,0.3626775,1.6270597,0.02322646,0.32765687,False
0,Sigma24,3,Sigma38,0.33605283,1.609843,0.018244542,0.26520097,False
0,Sigma24,3,Sigma38,0.26682845,1.6639732,0.019457718,0.30400944,False
0,Sigma24,1,Sigma28,0.27374688,1.6678358,0.01919168,0.27745736,False
0,Sigma24,2,Sigma32,0.27402875,1.6822629,0.023287283,0.34789383,False
0,Sigma24,3,Sigma38,0.40344054,1.5261543,0.01924782,0.27200162,False
0,Sigma24,3,Sigma38,0.4025054,1.5783516,0.028459845,0.38825214,False
0,Sigma24,4,Sigma54,0.39422825,1.5005343,0.027450822,0.34254265,False
0,Sigma24,3,Sigma38,0.5035991,1.3897309,0.010348552,0.15738773,False
0,Sigma24,2,Sigma32,0.27126235,1.6790574,0.020230377,0.2944497,False
0,Sigma24,2,Sigma32,0.2299657,1.7316293,0.026916714,0.4057933,False
0,Sigma24,3,Sigma38,0.37141648,1.5640157,0.024713295,0.33836114,False
0,Sigma24,1,Sigma28,0.37029532,1.6108747,0.020247882,0.297269,False
0,Sigma24,1,Sigma28,0.27407798,1.6585587,0.018913688,0.2737447,False
0,Sigma24,1,Sigma28,0.27919766,1.6933341,0.024819797,0.35637832,False
0,Sigma24,3,Sigma38,0.3248798,1.6008341,0.015164588,0.21442711,False
0,Sigma24,3,Sigma38,0.38078353,1.5253347,0.01169179,0.18131661,False
0,Sigma24,3,Sigma38,0.3157846,1.6419538,0.0186838,0.3065678,False
0,Sigma24,1,Sigma28,0.34725207,1.5374407,0.016964735,0.2286799,False
0,Sigma24,3,Sigma38,0.30741605,1.6114062,0.024319226,0.33036113,False
