metric,value
accuracy,0.4528301886792453
precision_macro,0.3585290537804624
recall_macro,0.33382008467972385
f1_macro,0.3227729199057598
f1_weighted,0.46916720651832017
mcc,0.19085482017685435
per_class_precision,"{'Sigma24': np.float64(0.3089430894308943), 'Sigma28': np.float64(0.5), 'Sigma32': np.float64(0.19205298013245034), 'Sigma38': np.float64(0.16666666666666666), 'Sigma54': np.float64(0.29411764705882354), 'Sigma70': np.float64(0.6893939393939394)}"
per_class_recall,"{'Sigma24': np.float64(0.3877551020408163), 'Sigma28': np.float64(0.2857142857142857), 'Sigma32': np.float64(0.4915254237288136), 'Sigma38': np.float64(0.05263157894736842), 'Sigma54': np.float64(0.25), 'Sigma70': np.float64(0.5352941176470588)}"
per_class_f1,"{'Sigma24': np.float64(0.3438914027149321), 'Sigma28': np.float64(0.36363636363636365), 'Sigma32': np.float64(0.2761904761904762), 'Sigma38': np.float64(0.08), 'Sigma54': np.float64(0.2702702702702703), 'Sigma70': np.float64(0.6026490066225165)}"
auroc_macro_ovr,0.7077220454012733
auprc_macro_ovr,0.2973111943317838
