true_label,true_label_name,predicted_label,predicted_label_name,confidence,entropy,variance,mutual_information,correct
0,Sigma24,3,Sigma38,0.26731697,1.6743433,0.008320394,0.14141715,False
0,Sigma24,5,Sigma70,0.27217618,1.6107572,0.008245321,0.13088334,False
0,Sigma24,1,Sigma28,0.20953768,1.7688961,0.0134859085,0.21828496,False
0,Sigma24,5,Sigma70,0.27459887,1.5883745,0.0106410505,0.15934312,False
0,Sigma24,5,Sigma70,0.2671586,1.7368269,0.009628037,0.17353618,False
0,Sigma24,5,Sigma70,0.37019953,1.5667375,0.008222067,0.15059352,False
0,Sigma24,5,Sigma70,0.343228,1.610591,0.009683499,0.1558603,False
0,Sigma24,5,Sigma70,0.29051563,1.7328329,0.010007144,0.17530847,False
0,Sigma24,5,Sigma70,0.2872024,1.6485136,0.009566628,0.1614443,False
0,Sigma24,5,Sigma70,0.3185045,1.6341312,0.01188629,0.19134068,False
0,Sigma24,3,Sigma38,0.23949529,1.6946318,0.013884264,0.22027636,False
0,Sigma24,5,Sigma70,0.2935961,1.6353441,0.013323414,0.20556045,False
0,Sigma24,5,Sigma70,0.4180356,1.5353212,0.011038396,0.1865431,False
0,Sigma24,5,Sigma70,0.35106716,1.6003747,0.011184394,0.17179978,False
0,Sigma24,5,Sigma70,0.24801621,1.7286856,0.009348704,0.1697036,False
0,Sigma24,5,Sigma70,0.28175786,1.684868,0.010390027,0.17908037,False
0,Sigma24,4,Sigma54,0.3381486,1.6341026,0.011236344,0.16343892,False
0,Sigma24,5,Sigma70,0.23664474,1.7279904,0.009670435,0.15854752,False
0,Sigma24,5,Sigma70,0.23328462,1.6701357,0.008487671,0.13239396,False
0,Sigma24,2,Sigma32,0.21193838,1.7661932,0.011490491,0.19270468,False
0,Sigma24,5,Sigma70,0.33750245,1.6136298,0.011672296,0.19298041,False
0,Sigma24,3,Sigma38,0.24929765,1.7452632,0.013594086,0.23081315,False
0,Sigma24,3,Sigma38,0.26014435,1.7128742,0.01112645,0.17698967,False
0,Sigma24,5,Sigma70,0.30855262,1.6324546,0.010594033,0.17085564,False
0,Sigma24,3,Sigma38,0.21881357,1.7596182,0.015480741,0.24703014,False
0,Sigma24,5,Sigma70,0.21211484,1.7554572,0.008208623,0.15433228,False
0,Sigma24,1,Sigma28,0.22432534,1.7445401,0.010745647,0.17438543,False
0,Sigma24,1,Sigma28,0.21192439,1.7520969,0.013759018,0.22833085,False
0,Sigma24,5,Sigma70,0.22304896,1.7650309,0.013048161,0.22156286,False
0,Sigma24,5,Sigma70,0.37011948,1.5351367,0.01066335,0.15553558,False
0,Sigma24,4,Sigma54,0.31000918,1.6752156,0.014764473,0.20046616,False
0,Sigma24,5,Sigma70,0.24461322,1.6924981,0.013361701,0.19761992,False
0,Sigma24,1,Sigma28,0.4041498,1.5930538,0.013006974,0.19342089,False
0,Sigma24,1,Sigma28,0.4510319,1.5218985,0.01695822,0.21978366,False
0,Sigma24,4,Sigma54,0.1966466,1.7837542,0.013136926,0.1966399,False
0,Sigma24,5,Sigma70,0.32464993,1.6052308,0.008388207,0.146083,False
0,Sigma24,5,Sigma70,0.25139534,1.7340184,0.010805043,0.20145702,False
0,Sigma24,5,Sigma70,0.30416903,1.6681602,0.0073722247,0.13796484,False
0,Sigma24,5,Sigma70,0.3619956,1.5916746,0.0060438346,0.1191957,False
0,Sigma24,5,Sigma70,0.31035632,1.6550223,0.010163817,0.18266404,False
0,Sigma24,5,Sigma70,0.31860384,1.6292975,0.009790249,0.16304827,False
0,Sigma24,4,Sigma54,0.3835162,1.5324876,0.017928591,0.23348856,False
0,Sigma24,5,Sigma70,0.50110555,1.3719116,0.0072836927,0.11347556,False
0,Sigma24,2,Sigma32,0.24491352,1.7627918,0.013398699,0.21530092,False
0,Sigma24,5,Sigma70,0.24254292,1.7484708,0.009733956,0.17740107,False
0,Sigma24,2,Sigma32,0.24583504,1.6689408,0.011454779,0.18245292,False
0,Sigma24,3,Sigma38,0.23154297,1.6780924,0.011056807,0.15945542,False
0,Sigma24,1,Sigma28,0.22415625,1.7004818,0.01087115,0.16887999,False
0,Sigma24,3,Sigma38,0.23459144,1.7059014,0.013167177,0.20584774,False
0,Sigma24,5,Sigma70,0.26822168,1.6538852,0.009604729,0.15057969,False
0,Sigma24,5,Sigma70,0.30234316,1.6207995,0.009830992,0.16367531,False
0,Sigma24,5,Sigma70,0.26248902,1.6990294,0.012479976,0.20352077,False
0,Sigma24,3,Sigma38,0.249826,1.6794271,0.010126615,0.14446533,False
0,Sigma24,5,Sigma70,0.27875835,1.6712275,0.010733325,0.1783998,False
0,Sigma24,1,Sigma28,0.3100816,1.6949128,0.010887566,0.17362916,False
0,Sigma24,3,Sigma38,0.33634242,1.6144546,0.011772752,0.17594111,False
0,Sigma24,5,Sigma70,0.22631654,1.7336748,0.008329397,0.14883018,False
0,Sigma24,5,Sigma70,0.3052608,1.6694584,0.008244452,0.15612376,False
0,Sigma24,5,Sigma70,0.40049735,1.4569069,0.014769786,0.20881534,False
0,Sigma24,5,Sigma70,0.33566386,1.6046127,0.012194149,0.18581307,False
0,Sigma24,3,Sigma38,0.24239418,1.7157693,0.009592979,0.16332078,False
0,Sigma24,4,Sigma54,0.43072483,1.5185802,0.01770665,0.2297908,False
0,Sigma24,3,Sigma38,0.41087204,1.4165837,0.011659533,0.15033054,False
0,Sigma24,3,Sigma38,0.24042325,1.7313818,0.012670108,0.21314538,False
0,Sigma24,5,Sigma70,0.25214002,1.6608323,0.009876034,0.15346229,False
0,Sigma24,1,Sigma28,0.46350014,1.5273247,0.0106518185,0.14642441,False
0,Sigma24,5,Sigma70,0.23854889,1.671727,0.0097660115,0.14456761,False
0,Sigma24,5,Sigma70,0.38459274,1.4939882,0.0062932516,0.09272957,False
