true_label_name,predicted_label_name,count,percentage_within_true_class
Sigma70,Sigma70,167,0.49117647058823527
Sigma70,Sigma32,86,0.2529411764705882
Sigma70,Sigma24,62,0.18235294117647058
Sigma24,Sigma24,37,0.37755102040816324
Sigma32,Sigma32,30,0.5084745762711864
Sigma24,Sigma70,29,0.29591836734693877
Sigma24,Sigma32,27,0.2755102040816326
Sigma38,Sigma70,19,0.5
Sigma70,Sigma38,13,0.03823529411764706
Sigma32,Sigma70,12,0.2033898305084746
Sigma28,Sigma32,11,0.39285714285714285
Sigma32,Sigma24,11,0.1864406779661017
Sigma28,Sigma28,10,0.35714285714285715
Sigma70,Sigma54,8,0.023529411764705882
Sigma54,Sigma70,7,0.35
Sigma38,Sigma24,7,0.18421052631578946
Sigma38,Sigma32,6,0.15789473684210525
Sigma54,Sigma32,5,0.25
Sigma70,Sigma28,4,0.011764705882352941
Sigma54,Sigma54,4,0.2
Sigma32,Sigma54,4,0.06779661016949153
Sigma28,Sigma24,4,0.14285714285714285
Sigma28,Sigma70,3,0.10714285714285714
Sigma54,Sigma24,3,0.15
Sigma38,Sigma38,3,0.07894736842105263
Sigma24,Sigma28,2,0.02040816326530612
Sigma38,Sigma28,2,0.05263157894736842
Sigma24,Sigma54,2,0.02040816326530612
Sigma24,Sigma38,1,0.01020408163265306
Sigma32,Sigma38,1,0.01694915254237288
Sigma32,Sigma28,1,0.01694915254237288
Sigma54,Sigma38,1,0.05
Sigma38,Sigma54,1,0.02631578947368421
