task,model,metric,mean,std
binary,5mer_random_forest,accuracy,0.813476859327164,0.010269054697401189
binary,5mer_random_forest,precision_macro,0.8144941136924817,0.01116873303714979
binary,5mer_random_forest,recall_macro,0.8127246521408502,0.010037758821576094
binary,5mer_random_forest,f1_macro,0.8129904914331471,0.010104095645914758
binary,5mer_random_forest,f1_weighted,0.8132251101045631,0.01013296653563464
binary,5mer_random_forest,mcc,0.6272151788635426,0.02118810618867385
binary,5mer_random_forest,auroc,0.8790587823900081,0.008284848118542076
binary,5mer_random_forest,auprc,0.8729462797270479,0.014285780693098864
binary,binary_cnn,accuracy,0.7926366535294084,0.004637499997053278
binary,binary_cnn,precision_macro,0.805191963057621,0.009190427733586566
binary,binary_cnn,recall_macro,0.7900593234940713,0.004374753468713935
binary,binary_cnn,f1_macro,0.7894078858123377,0.00418456512753616
binary,binary_cnn,f1_weighted,0.7900549400921205,0.004210543323643235
binary,binary_cnn,mcc,0.5950355957943547,0.01287970881974012
binary,binary_cnn,auroc,0.8689907722932864,0.007794613977709664
binary,binary_cnn,auprc,0.863409510919668,0.012438093790796476
sigma,3mer_linear_svm,accuracy,0.47584718003692456,0.02171877078011408
sigma,3mer_linear_svm,precision_macro,0.2898503197674071,0.02461491826961929
sigma,3mer_linear_svm,recall_macro,0.3273040157157033,0.03554685886489558
sigma,3mer_linear_svm,f1_macro,0.2876260095623556,0.027598619706666088
sigma,3mer_linear_svm,f1_weighted,0.4902029062501333,0.022668822300963856
sigma,3mer_linear_svm,mcc,0.19509495119231765,0.038116280251395754
sigma,3mer_linear_svm,auroc_macro_ovr,0.6888537985340816,0.015633092096441585
sigma,3mer_linear_svm,auprc_macro_ovr,0.28456835722265966,0.02293048797971798
sigma,3mer_linear_svm,f1_Sigma24,0.32020851443311765,0.06331935946660058
sigma,3mer_linear_svm,f1_Sigma28,0.23448739643899655,0.04590965179865015
sigma,3mer_linear_svm,f1_Sigma32,0.21044673739941322,0.02182761482615634
sigma,3mer_linear_svm,f1_Sigma38,0.1226382076675846,0.050822262219573665
sigma,3mer_linear_svm,f1_Sigma54,0.17142897429841475,0.03936072744934866
sigma,3mer_linear_svm,f1_Sigma70,0.6665462271366069,0.013181376637890117
sigma,sigma_cnn,accuracy,0.48445536299207903,0.029954266143493214
sigma,sigma_cnn,precision_macro,0.29415375872944355,0.04918539603117374
sigma,sigma_cnn,recall_macro,0.27127748432689536,0.033005028746338906
sigma,sigma_cnn,f1_macro,0.26195976677832117,0.02409655013806667
sigma,sigma_cnn,f1_weighted,0.4725151690061236,0.007357421868781971
sigma,sigma_cnn,mcc,0.15289823922652757,0.036036447793794786
sigma,sigma_cnn,auroc_macro_ovr,0.7006574175105701,0.017789636228389173
sigma,sigma_cnn,auprc_macro_ovr,0.28104738919333144,0.011570748288916622
sigma,sigma_cnn,f1_Sigma24,0.3262695897964347,0.05741641901915816
sigma,sigma_cnn,f1_Sigma28,0.2052933194011143,0.08784748183490153
sigma,sigma_cnn,f1_Sigma32,0.2062237772991419,0.08070844530300116
sigma,sigma_cnn,f1_Sigma38,0.07246427757705953,0.05648689889883948
sigma,sigma_cnn,f1_Sigma54,0.11498501498501498,0.09161198663413975
sigma,sigma_cnn,f1_Sigma70,0.6465226216111615,0.03639609471218874
