dataset,class_name,count,percentage
Binary Train,Non-Promoter,2695,51.25523012552301
Binary Train,Promoter,2563,48.74476987447699
Binary Test,Non-Promoter,674,51.254752851711025
Binary Test,Promoter,641,48.745247148288975
Sigma Train,Sigma70,1358,58.66090712742981
Sigma Train,Sigma24,388,16.76025917926566
Sigma Train,Sigma32,234,10.107991360691145
Sigma Train,Sigma38,150,6.479481641468682
Sigma Train,Sigma28,108,4.665226781857451
Sigma Train,Sigma54,77,3.326133909287257
Sigma Test,Sigma70,340,58.319039451114925
Sigma Test,Sigma24,98,16.80960548885077
Sigma Test,Sigma32,59,10.120068610634648
Sigma Test,Sigma38,38,6.518010291595197
Sigma Test,Sigma28,28,4.802744425385935
Sigma Test,Sigma54,20,3.4305317324185247
