true_label,true_label_name,predicted_label,predicted_label_name,confidence,entropy,variance,mutual_information,correct
0,Sigma24,0,Sigma24,0.3097705,1.6476287,0.018138224,0.2796446,True
0,Sigma24,0,Sigma24,0.38434777,1.5641494,0.012998127,0.19489932,True
0,Sigma24,2,Sigma32,0.28075203,1.6303442,0.0144683095,0.22387183,False
0,Sigma24,2,Sigma32,0.3431044,1.5261551,0.022619128,0.30026233,False
0,Sigma24,4,Sigma54,0.23796462,1.7286665,0.013688821,0.23277128,False
0,Sigma24,5,Sigma70,0.44193804,1.3239366,0.011621294,0.16561878,False
0,Sigma24,5,Sigma70,0.33016524,1.5572057,0.01771759,0.27387404,False
0,Sigma24,0,Sigma24,0.2982202,1.682391,0.018436821,0.2991488,True
0,Sigma24,0,Sigma24,0.3031913,1.4911184,0.016698854,0.23268175,True
0,Sigma24,5,Sigma70,0.37534314,1.3911023,0.015213225,0.2070589,False
0,Sigma24,0,Sigma24,0.2992666,1.59904,0.01942165,0.29810166,True
0,Sigma24,5,Sigma70,0.3738638,1.5521457,0.018553915,0.2796601,False
0,Sigma24,5,Sigma70,0.47565922,1.2416998,0.012359526,0.16054285,False
0,Sigma24,5,Sigma70,0.505285,1.2923388,0.008992516,0.14576948,False
0,Sigma24,2,Sigma32,0.35646257,1.4975029,0.014924341,0.21143246,False
0,Sigma24,5,Sigma70,0.3481677,1.5023123,0.0137968995,0.21560097,False
0,Sigma24,5,Sigma70,0.26505473,1.6271403,0.015525649,0.23861575,False
0,Sigma24,0,Sigma24,0.44465497,1.5304352,0.008150622,0.14934504,True
0,Sigma24,0,Sigma24,0.2930133,1.6138875,0.013618973,0.2103858,True
0,Sigma24,2,Sigma32,0.30558613,1.6860068,0.018516678,0.2881981,False
0,Sigma24,5,Sigma70,0.4220495,1.372628,0.016781345,0.2290703,False
0,Sigma24,0,Sigma24,0.31283513,1.6639463,0.013822886,0.2373625,True
0,Sigma24,5,Sigma70,0.23450984,1.7243987,0.016592553,0.26564884,False
0,Sigma24,5,Sigma70,0.3420734,1.538331,0.014354055,0.22729921,False
0,Sigma24,2,Sigma32,0.47726604,1.4384294,0.016106155,0.2241553,False
0,Sigma24,2,Sigma32,0.317773,1.630153,0.01272213,0.20743442,False
0,Sigma24,2,Sigma32,0.32131287,1.5673511,0.022849226,0.2968316,False
0,Sigma24,0,Sigma24,0.33465278,1.632532,0.01514022,0.23894382,True
0,Sigma24,0,Sigma24,0.26073986,1.6540197,0.018553315,0.26496363,True
0,Sigma24,5,Sigma70,0.38145873,1.5202067,0.018385498,0.26586163,False
0,Sigma24,4,Sigma54,0.34432754,1.5465314,0.021567687,0.28895497,False
0,Sigma24,5,Sigma70,0.2793692,1.6793079,0.014475052,0.23370445,False
0,Sigma24,0,Sigma24,0.4222421,1.4705576,0.012807683,0.20334423,True
0,Sigma24,1,Sigma28,0.3634995,1.439158,0.02130165,0.2614764,False
0,Sigma24,0,Sigma24,0.29725307,1.6315134,0.017212376,0.23585832,True
0,Sigma24,5,Sigma70,0.32187575,1.5358758,0.0132177295,0.19793499,False
0,Sigma24,2,Sigma32,0.40087512,1.4641371,0.014634955,0.21241164,False
0,Sigma24,5,Sigma70,0.40052107,1.5075728,0.014191412,0.21331966,False
0,Sigma24,5,Sigma70,0.38224092,1.5165921,0.0119769005,0.1873548,False
0,Sigma24,5,Sigma70,0.35871926,1.5409117,0.012574181,0.20601344,False
0,Sigma24,0,Sigma24,0.35202795,1.5180218,0.012615625,0.21145964,True
0,Sigma24,5,Sigma70,0.334577,1.5997261,0.014377843,0.22014546,False
0,Sigma24,5,Sigma70,0.7167441,0.92578125,0.0076058973,0.1101796,False
0,Sigma24,2,Sigma32,0.23546463,1.7008505,0.018240025,0.30811048,False
0,Sigma24,0,Sigma24,0.39059764,1.5305827,0.012900933,0.20369148,True
0,Sigma24,5,Sigma70,0.32074535,1.4952623,0.01233529,0.17175865,False
0,Sigma24,0,Sigma24,0.37719145,1.5453384,0.01317085,0.21690845,True
0,Sigma24,2,Sigma32,0.3376031,1.529916,0.0155849,0.21813071,False
0,Sigma24,0,Sigma24,0.42741582,1.5313305,0.015886627,0.24641716,True
0,Sigma24,0,Sigma24,0.2656259,1.6775299,0.018327432,0.27900767,True
0,Sigma24,2,Sigma32,0.3246219,1.5525248,0.014927954,0.22175562,False
0,Sigma24,5,Sigma70,0.33246487,1.547189,0.014650938,0.22975862,False
0,Sigma24,2,Sigma32,0.4912201,1.4140396,0.012410867,0.17603064,False
0,Sigma24,0,Sigma24,0.32231858,1.5395824,0.016627563,0.25258315,True
0,Sigma24,0,Sigma24,0.358937,1.6227379,0.015696403,0.2586019,True
0,Sigma24,2,Sigma32,0.27322498,1.5721879,0.021252597,0.2917862,False
0,Sigma24,0,Sigma24,0.40128565,1.5206934,0.018081196,0.27076674,True
0,Sigma24,2,Sigma32,0.2825675,1.5738248,0.011490204,0.1954571,False
0,Sigma24,5,Sigma70,0.5625612,1.1791558,0.012735599,0.19023526,False
0,Sigma24,5,Sigma70,0.4386427,1.3572463,0.0105530955,0.152076,False
0,Sigma24,2,Sigma32,0.30812523,1.5911512,0.013517796,0.22863853,False
0,Sigma24,2,Sigma32,0.35541958,1.5836194,0.013227087,0.2082938,False
0,Sigma24,5,Sigma70,0.3006878,1.5138346,0.019359484,0.25777602,False
0,Sigma24,2,Sigma32,0.40106848,1.5266799,0.014936657,0.21856296,False
0,Sigma24,0,Sigma24,0.32641757,1.4528342,0.0135797225,0.20536971,True
0,Sigma24,0,Sigma24,0.26834,1.6586899,0.01663506,0.2504593,True
0,Sigma24,0,Sigma24,0.27799046,1.7008767,0.020119742,0.3197397,True
0,Sigma24,5,Sigma70,0.36674908,1.4187136,0.013120678,0.18893409,False
0,Sigma24,2,Sigma32,0.2969558,1.5806056,0.014698659,0.22944391,False
0,Sigma24,2,Sigma32,0.3590189,1.6379169,0.021278376,0.3046006,False
0,Sigma24,0,Sigma24,0.3587233,1.5615326,0.0115829455,0.20804381,True
0,Sigma24,1,Sigma28,0.2890826,1.586904,0.016254568,0.23552978,False
0,Sigma24,0,Sigma24,0.29602465,1.627232,0.019182643,0.30241776,True
0,Sigma24,0,Sigma24,0.359642,1.533037,0.012840473,0.20577979,True
0,Sigma24,0,Sigma24,0.2629918,1.7253159,0.01916766,0.306476,True
0,Sigma24,0,Sigma24,0.2765575,1.7354628,0.018396726,0.3016528,True
0,Sigma24,0,Sigma24,0.23926447,1.7599931,0.020568896,0.3424257,True
0,Sigma24,2,Sigma32,0.3555867,1.567051,0.017254082,0.26981187,False
0,Sigma24,0,Sigma24,0.37639675,1.5281695,0.018313967,0.25492036,True
0,Sigma24,0,Sigma24,0.40216142,1.3209662,0.018040707,0.21466887,True
0,Sigma24,0,Sigma24,0.31264395,1.5387444,0.014356739,0.21333635,True
0,Sigma24,0,Sigma24,0.35429513,1.5844002,0.019784382,0.29357708,True
0,Sigma24,5,Sigma70,0.34465736,1.5181596,0.016647508,0.23789787,False
0,Sigma24,2,Sigma32,0.2997636,1.6633276,0.017486265,0.27324533,False
0,Sigma24,5,Sigma70,0.42213213,1.4206828,0.012953728,0.18781006,False
0,Sigma24,0,Sigma24,0.23411717,1.678056,0.016452799,0.26067388,True
0,Sigma24,5,Sigma70,0.558353,1.2612532,0.00967056,0.16495848,False
0,Sigma24,2,Sigma32,0.2933788,1.6803184,0.018653268,0.29008222,False
0,Sigma24,0,Sigma24,0.29189888,1.6072499,0.015009757,0.24783659,True
0,Sigma24,2,Sigma32,0.47789428,1.4967473,0.01323061,0.21963644,False
0,Sigma24,0,Sigma24,0.3187126,1.6968529,0.016949384,0.27012622,True
0,Sigma24,2,Sigma32,0.29040703,1.6229529,0.016314622,0.2655487,False
0,Sigma24,2,Sigma32,0.44980228,1.5170722,0.014610626,0.21514285,False
0,Sigma24,0,Sigma24,0.32425216,1.5575831,0.0150785865,0.21438491,True
0,Sigma24,2,Sigma32,0.35548338,1.6037265,0.01667442,0.26338005,False
0,Sigma24,3,Sigma38,0.29708526,1.458631,0.018274723,0.22178674,False
0,Sigma24,2,Sigma32,0.27726212,1.6696894,0.020324236,0.2937814,False
0,Sigma24,5,Sigma70,0.37037405,1.5587242,0.011680539,0.18857336,False
1,Sigma28,2,Sigma32,0.3467107,1.6183848,0.012427531,0.2073927,False
1,Sigma28,1,Sigma28,0.41124088,1.5147684,0.025784107,0.32986343,True
1,Sigma28,0,Sigma24,0.28562042,1.6011841,0.014173781,0.22106743,False
1,Sigma28,0,Sigma24,0.3010529,1.6479017,0.019887494,0.2945099,False
1,Sigma28,1,Sigma28,0.30929598,1.6383518,0.02214352,0.3112564,True
1,Sigma28,2,Sigma32,0.2934267,1.6721029,0.01617641,0.2514435,False
1,Sigma28,2,Sigma32,0.5033397,1.41543,0.012235094,0.18392253,False
1,Sigma28,0,Sigma24,0.30883124,1.5470151,0.018471992,0.25016916,False
1,Sigma28,1,Sigma28,0.29502872,1.672708,0.01865778,0.27168036,True
1,Sigma28,5,Sigma70,0.2952779,1.647268,0.021199545,0.32025552,False
1,Sigma28,2,Sigma32,0.30825758,1.5696616,0.013264024,0.20083272,False
1,Sigma28,2,Sigma32,0.2769077,1.7007585,0.017119357,0.27164757,False
1,Sigma28,1,Sigma28,0.30819994,1.6544657,0.01951526,0.2790029,True
1,Sigma28,2,Sigma32,0.29263836,1.6416655,0.022087261,0.32642138,False
1,Sigma28,1,Sigma28,0.3008331,1.6598696,0.018030837,0.26148415,True
1,Sigma28,1,Sigma28,0.30737257,1.6273623,0.01719674,0.24544394,True
1,Sigma28,5,Sigma70,0.4169191,1.432831,0.017657408,0.24658346,False
1,Sigma28,5,Sigma70,0.31289527,1.5819209,0.013275876,0.21809971,False
1,Sigma28,2,Sigma32,0.42282903,1.5619296,0.01512149,0.22016048,False
1,Sigma28,0,Sigma24,0.30466267,1.636367,0.015779985,0.24304187,False
